"Name","Runtime","n_hidden_layers","n_hidden_state_variables","n_hidden_time_steps","n_input_time_steps","model","activation","epochs","training_time","n_trainable_parameters","RMSE","NRMSE","R2"
"pretty-sweep-1","808","5","1","4","128","FMLP","gelu","1786","788.3544549560174","887","0.001377526205033064","0.0003983608912676573","0.9999998413086216"
"eager-sweep-1","179","5","1","4","256","FMLP","gelu","357","163.8460554741323","1591","0.004242016468197107","0.001226536463946104","0.9999984956085808"
"firm-sweep-7","545","5","1","4","512","MLP","gelu","2158","528.9377652779222","2157","0.005416173953562975","0.0015713643515482545","0.9999975308139244"
"vibrant-sweep-3","72","5","1","128","128","FMLP","gelu","113","53.253571652807295","125073","0.008801299147307873","0.0025452098343521357","0.9999935219069748"
"neat-sweep-10","492","5","4","4","512","MLP","gelu","1872","476.85616155387834","9585","0.00903722271323204","0.002621919149532914","0.9999931255401222"
"volcanic-sweep-2","88","5","1","64","128","FMLP","gelu","113","52.27556905196979","36977","0.009449614211916924","0.0027326932176947594","0.9999925323869154"
"fast-sweep-7","111","5","1","4","128","MLP","gelu","380","93.90725079830736","621","0.009935417212545872","0.002873180666938424","0.9999917448333556"
"amber-sweep-9","48","5","1","128","128","MLP","gelu","123","32.65474306093529","99201","0.009964510798454285","0.0028815940022468567","0.9999916964153158"
"resilient-sweep-11","44","5","4","64","128","MLP","gelu","108","28.091919428203255","362241","0.01010535005480051","0.0029223228339105844","0.9999914600293414"
"fearless-sweep-1","462","5","1","4","1024","FP","gelu","1324","446.0041533666663","1610","0.010340244509279728","0.002998153679072857","0.9999910110757888"
"fine-sweep-12","47","5","4","128","128","MLP","gelu","112","29.475931285880502","1379841","0.010659407824277878","0.0030825482681393623","0.9999904978959224"
"morning-sweep-8","53","5","1","64","128","MLP","gelu","144","35.75121750077233","29121","0.012480857782065868","0.0036092856898903847","0.9999869730580808"
"tough-sweep-4","235","5","4","4","256","FP","gelu","633","218.53613951290023","2366","0.012736028991639614","0.0036824948620051146","0.9999864392308768"
"efficient-sweep-7","130","5","1","4","1024","MLP","gelu","441","113.70188811374828","4205","0.014971707947552204","0.004341046325862408","0.9999811553161522"
"charmed-sweep-4","97","5","4","4","128","FMLP","gelu","167","78.61864708410576","5039","0.015296495519578455","0.004423527978360653","0.9999804324029984"
"legendary-sweep-10","629","5","4","4","1024","MLP","gelu","2362","613.3379989829846","17777","0.01586594246327877","0.004600329790264368","0.9999788369687496"
"dry-sweep-5","85","5","4","64","128","FMLP","gelu","106","53.08773053297773","458999","0.01683848537504673","0.00486944941803813","0.9999762884645294"
"lively-sweep-1","136","5","1","4","512","FP","gelu","347","120.78191990312187","842","0.016983559355139732","0.004927345551550388","0.9999757212633196"
"generous-sweep-1","103","5","1","4","128","FP","gelu","252","86.80278667388484","266","0.01715744100511074","0.004961686674505472","0.999975381666232"
